id	qid	testSet	module	count	accuracy
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj37-l1.qa185	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj38-l1.qa190	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj40-l1.qa222	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj42-l1.qa206	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj43-l1.qa203	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj45-l1.qa197	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj47-l1.qa221	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbj48-l1.qa190	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb1-l1.qa168	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb2-l1.qa172	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb4-l1.qa163	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb6-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb7-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb10-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb11-l1.qa166	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb15-l1.qa163	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb16-l1.qa163	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb19-l1.qa166	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb21-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb24-l1.qa169	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb25-l1.qa166	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb26-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb28-l1.qa166	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb29-l1.qa165	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb30-l1.qa168	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	2	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb38-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb39-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY4.sbjb41-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY4	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj3-l1.qa223	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj7-l1.qa212	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa260	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa261	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj8-l1.qa262	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	3	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa219	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa220	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj9-l1.qa221	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj10-l1.qa250	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj11-l1.qa240	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj11-l1.qa241	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj12-l1.qa213	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj12-l1.qa214	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj13-l1.qa254	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj13-l1.qa255	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj13-l1.qa256	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj14-l1.qa239	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj14-l1.qa240	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj14-l1.qa241	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj15-l1.qa264	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj18-l1.qa208	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj18-l1.qa209	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj19-l1.qa286	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj19-l1.qa288	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj22-l1.qa247	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj22-l1.qa248	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj22-l1.qa249	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj23-l1.qa214	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj23-l1.qa215	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj23-l1.qa216	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj23-l1.qa217	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj24-l1.qa263	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj24-l1.qa264	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	2	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj26-l1.qa263	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj26-l1.qa264	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj26-l1.qa265	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj27-l1.qa241	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj27-l1.qa242	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj28-l1.qa240	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	2	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj29-l1.qa232	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj29-l1.qa233	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj29-l1.qa234	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj29-l1.qa235	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj30-l1.qa227	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	2	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj30-l1.qa228	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	3	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj31-l1.qa234	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	3	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj33-l1.qa224	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj33-l1.qa225	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj35-l1.qa241	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj35-l1.qa242	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj35-l1.qa243	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj36-l1.qa245	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj37-l1.qa215	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj38-l1.qa219	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj38-l1.qa220	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj39-l1.qa262	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj39-l1.qa263	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj39-l1.qa264	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj40-l1.qa257	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj40-l1.qa259	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj42-l1.qa250	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj42-l1.qa251	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj43-l1.qa230	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj43-l1.qa231	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj46-l1.qa244	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj47-l1.qa256	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj47-l1.qa257	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj48-l1.qa214	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj48-l1.qa215	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbj48-l1.qa216	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb1-l1.qa188	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb2-l1.qa192	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb3-l1.qa204	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb4-l1.qa183	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb5-l1.qa191	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb6-l1.qa184	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb7-l1.qa181	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb9-l1.qa197	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb10-l1.qa181	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb11-l1.qa187	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb12-l1.qa187	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb13-l1.qa183	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb15-l1.qa183	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb16-l1.qa183	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb17-l1.qa185	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb18-l1.qa194	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb19-l1.qa186	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb20-l1.qa194	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb21-l1.qa182	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb22-l1.qa192	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb24-l1.qa189	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb25-l1.qa186	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb26-l1.qa182	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb27-l1.qa181	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	correct
FaultFinding-DESCRIBE_GAP_LOCATE_PROCEDURE_Q.sbjb28-l1.qa186	DESCRIBE_GAP_LOCATE_PROCEDURE_Q	unseen-questions	FaultFinding	1	incorrect
