id	qid	testSet	module	count	accuracy
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj19-l1.qa241	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj19-l1.qa242	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj22-l1.qa208	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj22-l1.qa209	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj23-l1.qa185	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	2	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj23-l1.qa186	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj24-l1.qa219	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj24-l1.qa220	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj26-l1.qa226	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj26-l1.qa227	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj27-l1.qa206	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj27-l1.qa207	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj27-l1.qa208	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj29-l1.qa202	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj30-l1.qa193	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj30-l1.qa194	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj30-l1.qa195	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj31-l1.qa202	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj33-l1.qa196	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj33-l1.qa197	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj35-l1.qa204	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj35-l1.qa206	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	irrelevant
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj36-l1.qa213	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj36-l1.qa214	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj36-l1.qa215	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj36-l1.qa216	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj37-l1.qa182	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj37-l1.qa183	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	2	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj38-l1.qa187	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj38-l1.qa188	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj39-l1.qa224	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj39-l1.qa225	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	irrelevant
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj39-l1.qa226	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj39-l1.qa227	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj40-l1.qa215	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj40-l1.qa216	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj40-l1.qa217	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj40-l1.qa218	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj40-l1.qa219	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj42-l1.qa202	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj42-l1.qa203	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj42-l1.qa204	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj43-l1.qa201	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj45-l1.qa192	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj45-l1.qa193	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj46-l1.qa206	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj46-l1.qa207	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj46-l1.qa208	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbj47-l1.qa219	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb1-l1.qa166	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb2-l1.qa170	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb4-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	2	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb6-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb7-l1.qa159	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	irrelevant
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb9-l1.qa175	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb10-l1.qa159	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb12-l1.qa165	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb13-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb15-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb16-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb18-l1.qa171	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	2	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb19-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb20-l1.qa171	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb22-l1.qa170	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb25-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb26-l1.qa160	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb27-l1.qa159	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb28-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb29-l1.qa163	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb30-l1.qa166	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	2	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb31-l1.qa159	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb32-l1.qa163	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb34-l1.qa159	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb35-l1.qa160	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb36-l1.qa159	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb37-l1.qa159	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb39-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb40-l1.qa160	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb41-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY1.sbjb42-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY1		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj7-l1.qa186	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	3	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj8-l1.qa229	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	5	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj9-l1.qa190	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj10-l1.qa211	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj12-l1.qa184	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	5	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj14-l1.qa210	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj19-l1.qa243	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	3	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj19-l1.qa244	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj19-l1.qa245	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj19-l1.qa246	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj22-l1.qa210	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj23-l1.qa187	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	11	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj24-l1.qa222	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj24-l1.qa223	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj29-l1.qa203	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj31-l1.qa203	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj33-l1.qa198	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj33-l1.qa199	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj35-l1.qa208	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj35-l1.qa209	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj35-l1.qa210	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj36-l1.qa217	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj37-l1.qa184	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj38-l1.qa189	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj39-l1.qa228	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj40-l1.qa220	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj40-l1.qa221	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj42-l1.qa205	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj43-l1.qa202	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj45-l1.qa195	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj45-l1.qa196	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj46-l1.qa209	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbj48-l1.qa189	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb1-l1.qa167	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	irrelevant
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb2-l1.qa171	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb3-l1.qa183	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb4-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb6-l1.qa163	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	irrelevant
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb7-l1.qa160	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb10-l1.qa160	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb11-l1.qa165	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	irrelevant
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb15-l1.qa162	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb19-l1.qa165	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb21-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb24-l1.qa168	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	non_domain
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb25-l1.qa165	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	contradictory
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb26-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb28-l1.qa165	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb29-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb30-l1.qa167	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	3	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb32-l1.qa164	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	irrelevant
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb34-l1.qa160	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb38-l1.qa161	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	partially_correct_incomplete
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY2.sbjb39-l1.qa163	BULB_C_VOLTAGE_EXPLAIN_WHY2		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj3-l1.qa196	BULB_C_VOLTAGE_EXPLAIN_WHY6		FaultFinding	1	correct
FaultFinding-BULB_C_VOLTAGE_EXPLAIN_WHY6.sbj7-l1.qa188	BULB_C_VOLTAGE_EXPLAIN_WHY6		FaultFinding	2	correct
