@relation accuracy-weka.filters.unsupervised.attribute.Remove-R1

@attribute overlap numeric
@attribute F numeric
@attribute lesk numeric
@attribute cosine numeric
@attribute questionOverlap numeric
@attribute questionF numeric
@attribute questionLesk numeric
@attribute questionCosine numeric
@attribute word_matching numeric
@attribute neg_word_match numeric
@attribute num_match numeric
@attribute synonym_match numeric
@attribute antonym_match numeric
@attribute wup_similarity numeric
@attribute accuracy {correct,partially_correct_incomplete,contradictory,irrelevant,non_domain}

@data
6,0.631579,0.461538,0.679366,2,0.065574,0.006061,0.110096,0.111111,0,0,0,0,0.487241,correct
3,0.3,0.032967,0.314485,2,0.064516,0.005195,0.101929,0.222222,0,0,0,0,0.508654,correct
3,0.315789,0.1,0.316228,1,0.030769,0.001818,0.04264,0.333333,0,1,0,0,0.481855,correct
5,0.434783,0.130769,0.438529,3,0.092308,0.005455,0.12792,0.444444,0,1,0,0,0.611222,correct
2,0.210526,0.025641,0.226455,3,0.098361,0.015152,0.165145,0.111111,0,0,0,0,0.281798,partially_correct_incomplete
2,0.307692,0.055556,0.333333,1,0.033898,0.004545,0.06742,0.222222,0,0,0,0,0.357143,correct
7,0.7,0.296703,0.733799,3,0.096774,0.007792,0.152894,0.222222,0,0,0,0,0.36543,correct
6,0.413793,0.038462,0.416025,7,0.197183,0.007955,0.23597,0.333333,0,0,0,0,0.275743,correct
3,0.272727,0.025641,0.27735,3,0.088235,0.004196,0.112194,0.333333,0,0,0,0,0.302229,correct
1,0.105263,0.012821,0.113228,2,0.065574,0.012121,0.110096,0,0,-1,0,0,0.245641,contradictory
4,0.296296,0.037037,0.31427,11,0.30137,0.021212,0.349603,0.444444,0,-1,0,0,0.398481,contradictory
8,0.592593,0.208791,0.592999,9,0.26087,0.022078,0.324337,0.444444,0,0,0,0,0.476378,contradictory
3,0.3,0.032967,0.314485,2,0.064516,0.005195,0.101929,0.222222,0,-1,0,0,0.342593,contradictory
0,0,0,0,0,0,0,0,0,0,-1,0,0,0.25,contradictory
3,0.352941,0.057692,0.416025,1,0.033898,0.004545,0.06742,0.222222,0,0,0,0,0.46875,contradictory
2,0.266667,0.037037,0.272166,2,0.065574,0.006061,0.110096,0.222222,0,0,0,0,0.445833,contradictory
3,0.285714,0.046296,0.288675,3,0.089552,0.004545,0.116775,0.333333,0,-1,0,0,0.391234,correct
7,0.56,0.121795,0.560449,9,0.268657,0.077273,0.350325,0.444444,0,0,0,0,0.347238,correct
2,0.307692,0.055556,0.333333,1,0.033898,0.004545,0.06742,0.222222,0,0,0,0,0.35,partially_correct_incomplete
4,0.285714,0.051282,0.286446,5,0.142857,0.006061,0.174078,0.333333,0,0,0,0,0.248519,correct
2,0.307692,0.055556,0.333333,1,0.033898,0.004545,0.06742,0.222222,0,0,0,0,0.325,irrelevant
2,0.333333,0.074074,0.3849,1,0.034483,0.006061,0.07785,0.222222,0,0,0,0,0.518519,irrelevant
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,non_domain
4,0.421053,0.051282,0.452911,4,0.131148,0.012121,0.220193,0.111111,0,0,0,0,0.342857,partially_correct_incomplete
3,0.3,0.032967,0.314485,4,0.129032,0.015584,0.203859,0.111111,0,0,0,0,0.328526,partially_correct_incomplete
6,0.48,0.074074,0.480384,7,0.208955,0.016667,0.272475,0.444444,0,0,0,0,0.354093,partially_correct_incomplete
5,0.5,0.274725,0.524142,2,0.064516,0.005195,0.101929,0,0,0,0,0,0.287305,correct
1,0.153846,0.027778,0.166667,2,0.067797,0.018182,0.13484,0.111111,0,0,0,0,0.432051,contradictory
1,0.153846,0.027778,0.166667,2,0.067797,0.018182,0.13484,0.111111,0,0,0,0,0.535417,contradictory
3,0.272727,0.025641,0.27735,4,0.125,0.008081,0.179787,0.222222,0,-1,0,0,0.231618,contradictory
5,0.37037,0.027473,0.370625,7,0.202899,0.009091,0.252262,0.222222,0,0,0,0,0.304377,contradictory
7,0.56,0.237179,0.560449,5,0.149254,0.007576,0.194625,0.333333,0,0,0,0,0.36862,correct
3,0.315789,0.074074,0.339683,3,0.098361,0.015152,0.165145,0.222222,0,0,0,0,0.538034,partially_correct_incomplete
2,0.266667,0.037037,0.272166,3,0.098361,0.009091,0.165145,0.222222,-1,0,0,0,0.356944,correct
5,0.5,0.186813,0.524142,4,0.129032,0.015584,0.203859,0.111111,0,0,0,0,0.45573,correct
4,0.363636,0.034188,0.3698,5,0.15625,0.014141,0.224733,0.222222,0,0,0,0,0.381173,contradictory
0,0,0,0,1,0.035088,0.009091,0.095346,0,0,0,0,0,0.375,non_domain
5,0.454545,0.094017,0.46225,5,0.15625,0.014141,0.224733,0.111111,0,0,0,0,0.265829,correct
6,0.521739,0.138462,0.526235,6,0.184615,0.014545,0.255841,0.333333,0,-1,0,0,0.401746,contradictory
6,0.6,0.21978,0.628971,3,0.096774,0.007792,0.152894,0.111111,0,0,0,0,0.350321,correct
3,0.352941,0.057692,0.416025,2,0.067797,0.009091,0.13484,0.222222,0,0,0,0,0.357143,correct
0,0,0,0,1,0.034483,0.006061,0.07785,0,0,0,0,0,0.352564,non_domain
3,0.24,0.019231,0.240192,5,0.149254,0.007576,0.194625,0.111111,0,-1,0,0,0.304086,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0.365079,non_domain
0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,contradictory
2,0.285714,0.088889,0.298142,2,0.066667,0.007273,0.120605,0.222222,0,0,0,0,0.222222,contradictory
5,0.454545,0.061728,0.46225,5,0.15625,0.010101,0.224733,0.333333,0,0,0,0,0.34619,contradictory
2,0.222222,0.030769,0.248069,2,0.066667,0.007273,0.120605,0.111111,0,0,0,0,0.160714,contradictory
2,0.222222,0.030769,0.248069,2,0.066667,0.007273,0.120605,0.111111,0,0,0,0,0.075,correct
3,0.315789,0.038462,0.339683,4,0.131148,0.018182,0.220193,0.222222,0,0,0,0,0.342593,correct
5,0.37037,0.06044,0.370625,7,0.202899,0.014286,0.252262,0.222222,0,-1,0,0,0.229792,correct
2,0.25,0.031746,0.251976,2,0.064516,0.005195,0.101929,0.222222,0,-1,0,0,0.25,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0,non_domain
2,0.235294,0.027778,0.235702,2,0.063492,0.004545,0.095346,0.222222,0,-1,0,0,0.313605,contradictory
2,0.285714,0.044444,0.298142,2,0.066667,0.007273,0.120605,0.222222,0,0,0,0,0.445833,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0.14359,non_domain
4,0.444444,0.061538,0.496139,2,0.066667,0.007273,0.120605,0.222222,0,0,0,0,0.375,contradictory
3,0.315789,0.074074,0.339683,3,0.098361,0.009091,0.165145,0.222222,0,0,0,0,0.419338,contradictory
1,0.117647,0.013889,0.117851,4,0.126984,0.009091,0.190693,0.111111,-1,-1,0,0,0.298605,correct
2,0.307692,0.111111,0.333333,3,0.101695,0.013636,0.20226,0.222222,0,0,0,0,0.35,contradictory
1,0.142857,0.022222,0.149071,2,0.066667,0.014545,0.120605,0.111111,0,-1,0,0,0.316667,contradictory
3,0.3,0.032967,0.314485,1,0.032258,0.002597,0.050965,0.222222,0,-1,0,0,0.25,contradictory
3,0.3,0.032967,0.314485,1,0.032258,0.002597,0.050965,0.222222,0,-1,0,0,0.25,contradictory
2,0.210526,0.022222,0.210819,3,0.092308,0.005455,0.12792,0.222222,0,-1,0,0,0.305556,correct
3,0.272727,0.025641,0.27735,5,0.15625,0.014141,0.224733,0.222222,-1,0,0,0,0.1875,partially_correct_incomplete
8,0.761905,0.365385,0.784465,4,0.126984,0.009091,0.190693,0.222222,0,0,0,0,0.36543,correct
3,0.272727,0.025641,0.27735,4,0.125,0.012121,0.179787,0.111111,0,0,0,0,0.3375,contradictory
3,0.4,0.092593,0.408248,2,0.065574,0.006061,0.110096,0.333333,0,0,0,0,0.525,contradictory
0,0,0,0,1,0.033898,0.004545,0.06742,0,0,0,0,0,0.3271,contradictory
4,0.363636,0.034188,0.3698,5,0.15625,0.014141,0.224733,0.222222,0,-1,0,0,0.205556,correct
2,0.190476,0.018519,0.19245,4,0.119403,0.006061,0.1557,0.222222,-1,-1,0,0,0.261751,correct
3,0.272727,0.025641,0.27735,3,0.09375,0.006061,0.13484,0.222222,0,-1,0,0,0.287946,correct
4,0.4,0.043956,0.419314,2,0.064516,0.005195,0.101929,0.222222,0,0,0,0,0.267857,correct
5,0.333333,0.031674,0.336336,11,0.305556,0.024599,0.359738,0.444444,0,0,0,0,0.476728,contradictory
2,0.173913,0.015385,0.175412,4,0.123077,0.010909,0.170561,0.111111,0,-1,0,0,0.194444,correct
7,0.666667,0.471154,0.686406,3,0.095238,0.006818,0.143019,0.111111,0,0,0,0,0.42793,correct
3,0.3,0.032967,0.314485,2,0.064516,0.005195,0.101929,0.222222,0,-1,0,0,0.302632,correct
3,0.26087,0.023077,0.263117,3,0.092308,0.005455,0.12792,0.222222,0,-2,0,0,0.15873,contradictory
3,0.352941,0.057692,0.416025,2,0.067797,0.018182,0.13484,0.111111,0,0,0,0,0.416667,contradictory
2,0.307692,0.055556,0.333333,2,0.067797,0.009091,0.13484,0.222222,0,0,0,0,0.25,correct
4,0.444444,0.061538,0.496139,3,0.1,0.018182,0.180907,0.111111,0,0,0,0,0.35,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0,non_domain
4,0.363636,0.034188,0.3698,4,0.125,0.012121,0.179787,0.111111,-1,0,0,0,0.185185,partially_correct_incomplete
4,0.4,0.10989,0.419314,1,0.032258,0.002597,0.050965,0.111111,0,-1,0,0,0.28022,contradictory
3,0.352941,0.057692,0.416025,1,0.033898,0.004545,0.06742,0.222222,0,0,0,0,0.490476,correct
1,0.153846,0.027778,0.166667,0,0,0,0,0.111111,-1,0,0,0,0.549632,contradictory
1,0.117647,0.019231,0.138675,1,0.033898,0.004545,0.06742,0,0,0,0,0,0.475286,contradictory
3,0.272727,0.025641,0.27735,3,0.09375,0.006061,0.13484,0.222222,0,-1,0,0,0.368783,contradictory
6,0.571429,0.115385,0.588348,4,0.126984,0.009091,0.190693,0.222222,0,0,0,0,0.307733,correct
4,0.380952,0.055556,0.3849,6,0.179104,0.012121,0.23355,0.444444,0,1,0,0,0.432831,correct
4,0.363636,0.051282,0.3698,5,0.15625,0.022222,0.224733,0,0,0,0,0,0.303105,partially_correct_incomplete
3,0.26087,0.023077,0.263117,6,0.184615,0.014545,0.255841,0.111111,0,0,0,0,0.423114,correct
6,0.461538,0.035503,0.461538,7,0.205882,0.026573,0.261785,0.333333,0,0,0,0,0.257418,correct
3,0.315789,0.038462,0.339683,3,0.098361,0.009091,0.165145,0.222222,0,0,0,0,0.329082,contradictory
3,0.272727,0.025641,0.27735,3,0.09375,0.006061,0.13484,0.222222,0,-1,0,0,0.25,contradictory
4,0.347826,0.055556,0.350823,4,0.123077,0.007273,0.170561,0.333333,0,0,0,0,0.386364,contradictory
7,0.304348,0.030303,0.337963,9,0.204545,0.004959,0.211254,0.222222,-1,0,0,0,0.188219,contradictory
1,0.133333,0.018519,0.136083,1,0.032787,0.00303,0.055048,0.111111,0,0,0,0,0.493981,contradictory
2,0.25,0.031746,0.251976,3,0.096774,0.007792,0.152894,0.222222,0,0,0,0,0.290789,contradictory
3,0.352941,0.057692,0.416025,2,0.067797,0.009091,0.13484,0.222222,0,0,0,0,0.285714,correct
6,0.428571,0.092308,0.429669,9,0.257143,0.027879,0.31334,0.222222,0,0,0,0,0.244842,correct
2,0.285714,0.044444,0.298142,3,0.1,0.018182,0.180907,0.222222,0,0,0,0,0.428333,contradictory
4,0.296296,0.021978,0.2965,3,0.086957,0.003896,0.108112,0.222222,0,-1,0,0,0.159054,correct
7,0.4,0.084,0.442719,6,0.3,0.026667,0.309839,0.454545,-2,0,0,0,0.428103,correct
4,0.363636,0.05,0.365148,5,0.37037,0.038889,0.372678,0.363636,0,0,0,0,0.487987,contradictory
2,0.1,0.006667,0.11547,4,0.177778,0.008889,0.188562,0.090909,0,0,0,0,0.259625,contradictory
0,0,0,0,0,0,0,0,0,-1,0,0,0,0.296791,non_domain
4,0.444444,0.083333,0.471405,4,0.380952,0.066667,0.421637,0.272727,0,0,0,-1,0.555556,contradictory
1,0.117647,0.014286,0.119523,1,0.090909,0.009524,0.09759,0.090909,0,0,0,0,0.242737,contradictory
6,0.461538,0.047619,0.46291,3,0.206897,0.014286,0.20702,0.363636,0,0,0,0,0.43394,contradictory
4,0.32,0.025641,0.320256,3,0.214286,0.015385,0.214834,0.272727,0,0,0,0,0.339115,contradictory
3,0.285714,0.027778,0.288675,3,0.25,0.022222,0.258199,0.181818,0,0,0,0,0.28069,contradictory
4,0.5,0.066667,0.516398,5,0.47619,0.122222,0.527046,0.272727,0,0,0,0,0.32381,contradictory
8,0.470588,0.066667,0.516398,14,0.717949,0.472222,0.737865,0.454545,0,0,0,0,0.271712,contradictory
5,0.625,0.116667,0.645497,5,0.47619,0.122222,0.527046,0.272727,0,0,0,0,0.32967,partially_correct_incomplete
8,0.470588,0.066667,0.516398,13,0.666667,0.341667,0.68516,0.363636,0,0,0,0,0.233353,contradictory
7,0.636364,0.158333,0.63901,7,0.518519,0.061111,0.521749,0.272727,0,0,0,0,0.343942,correct
3,0.375,0.083333,0.387298,3,0.285714,0.033333,0.316228,0.090909,0,0,0,0,0.147143,partially_correct_incomplete
7,0.777778,0.1875,0.782624,6,0.521739,0.083333,0.547723,0.272727,0,0,0,0,0.450962,correct
1,0.117647,0.014286,0.119523,2,0.181818,0.019048,0.19518,0,0,0,0,0,0.225023,partially_correct_incomplete
0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,contradictory
7,0.636364,0.091667,0.63901,7,0.518519,0.061111,0.521749,0.454545,0,0,0,0,0.331361,correct
7,0.608696,0.115385,0.613941,8,0.571429,0.092308,0.572892,0.363636,0,0,0,0,0.341306,partially_correct_incomplete
2,0.222222,0.041667,0.223607,4,0.347826,0.05,0.365148,0.090909,0,0,0,0,0.291667,partially_correct_incomplete
4,0.363636,0.05,0.365148,3,0.24,0.02,0.244949,0.181818,0,0,0,0,0.45,partially_correct_incomplete
6,0.545455,0.068182,0.547723,8,0.592593,0.122222,0.596285,0.454545,0,0,0,0,0.361111,irrelevant
5,0.47619,0.1,0.476731,6,0.461538,0.084848,0.467099,0.272727,0,0,0,0,0.323884,irrelevant
1,0.133333,0.02,0.141421,1,0.1,0.013333,0.11547,0.090909,0,0,0,0,0.310897,contradictory
4,0.4,0.1,0.4,2,0.16,0.013333,0.163299,0.181818,0,0,0,0,0.541974,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0,non_domain
0,0,0,0,0,0,0,0,0,0,0,0,0,0,non_domain
4,0.380952,0.036364,0.381385,4,0.307692,0.036364,0.3114,0.181818,0,0,0,0,0.374853,partially_correct_incomplete
2,0.266667,0.04,0.282843,1,0.1,0.013333,0.11547,0.181818,0,0,0,0,0.426667,contradictory
1,0.153846,0.033333,0.182574,0,0,0,0,0.090909,0,0,0,0,0.547009,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222,non_domain
7,0.666667,0.136364,0.667424,5,0.384615,0.042424,0.389249,0.363636,0,0,0,0,0.565734,correct
7,0.538462,0.065089,0.538462,7,0.5,0.097436,0.50128,0.454545,0,0,0,0,0.44325,correct
2,0.222222,0.025974,0.227921,1,0.090909,0.009524,0.09759,0.181818,0,0,0,0,0.126984,partially_correct_incomplete
3,0.4,0.1,0.424264,3,0.3,0.066667,0.34641,0.090909,0,0,0,0,0.105983,partially_correct_incomplete
4,0.444444,0.125,0.447214,4,0.347826,0.033333,0.365148,0.181818,0,0,0,0,0.335357,partially_correct_incomplete
2,0.25,0.083333,0.288675,1,0.105263,0.016667,0.129099,0.090909,0,0,0,-1,0.333333,contradictory
4,0.347826,0.045455,0.348155,2,0.153846,0.012121,0.1557,0.181818,0,0,0,-1,0.193581,contradictory
6,0.5,0.084615,0.501745,4,0.285714,0.041026,0.286446,0.545455,0,0,0,0,0.578852,contradictory
5,0.434783,0.128788,0.435194,4,0.307692,0.024242,0.3114,0.272727,-1,0,0,-1,0.406312,contradictory
7,0.666667,0.1,0.667424,5,0.384615,0.042424,0.389249,0.454545,0,0,0,0,0.476923,partially_correct_incomplete
7,0.56,0.060606,0.560449,5,0.37037,0.038889,0.372678,0.545455,0,0,0,0,0.475504,contradictory
9,0.782609,0.315385,0.789352,9,0.642857,0.097436,0.644503,0.454545,0,0,0,0,0.518842,correct
5,0.588235,0.242857,0.597614,4,0.363636,0.07619,0.39036,0.272727,0,0,0,0,0.749278,partially_correct_incomplete
8,0.727273,0.25,0.730297,8,0.592593,0.1,0.596285,0.454545,0,0,0,0,0.562079,correct
0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111,non_domain
2,0.333333,0.1,0.447214,2,0.235294,0.133333,0.365148,0.181818,0,0,0,0,0.5,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0.470588,non_domain
2,0.235294,0.038462,0.27735,1,0.105263,0.016667,0.129099,0.090909,0,0,0,0,0.19457,non_domain
3,0.315789,0.055556,0.316228,3,0.25,0.037037,0.258199,0.181818,-1,0,0,0,0.360969,contradictory
2,0.235294,0.066667,0.258199,2,0.2,0.053333,0.23094,0.090909,0,0,0,0,0.555556,partially_correct_incomplete
6,0.545455,0.083333,0.547723,7,0.56,0.126667,0.571548,0.272727,0,0,0,-1,0.480392,partially_correct_incomplete
1,0.181818,0.1,0.316228,1,0.125,0.066667,0.258199,0.090909,0,0,0,0,1,partially_correct_incomplete
2,0.2,0.020833,0.204124,3,0.26087,0.025,0.273861,0.090909,0,0,0,0,0.16634,partially_correct_incomplete
3,0.315789,0.035714,0.327327,3,0.272727,0.028571,0.29277,0.181818,0,0,0,0,0.256579,partially_correct_incomplete
0,0,0,0,0,0,0,0,0,-1,0,0,0,0.194444,partially_correct_incomplete
4,0.4,0.1,0.4,4,0.32,0.066667,0.326599,0.181818,-1,0,0,0,0.386752,partially_correct_incomplete
3,0.3,0.052083,0.306186,3,0.26087,0.025,0.273861,0.181818,0,0,0,0,0.226852,partially_correct_incomplete
2,0.1,0.006667,0.11547,3,0.133333,0.006667,0.141421,0.090909,0,0,0,0,0.252113,contradictory
0,0,0,0,0,0,0,0,0,-1,0,0,0,0.133333,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0.278075,non_domain
3,0.461538,0.1,0.547723,2,0.222222,0.088889,0.298142,0.181818,0,0,0,0,0.435897,contradictory
3,0.181818,0.013043,0.197814,4,0.210526,0.028986,0.215353,0.272727,0,0,0,0,0.323245,contradictory
1,0.142857,0.025,0.158114,1,0.105263,0.016667,0.129099,0.090909,0,0,0,0,0.460317,non_domain
4,0.5,0.166667,0.516398,5,0.47619,0.144444,0.527046,0.181818,0,0,0,0,0.29638,partially_correct_incomplete
2,0.266667,0.04,0.282843,3,0.3,0.066667,0.34641,0.181818,0,0,0,0,0.410784,contradictory
6,0.631579,0.2,0.632456,4,0.333333,0.02963,0.344265,0.272727,0,0,0,0,0.489744,correct
1,0.117647,0.014286,0.119523,2,0.181818,0.019048,0.19518,0,0,0,0,0,0.196895,contradictory
4,0.421053,0.190476,0.436436,2,0.181818,0.019048,0.19518,0.181818,0,0,0,-1,0.516667,contradictory
1,0.117647,0.014286,0.119523,1,0.090909,0.009524,0.09759,0.090909,0,0,0,0,0.252451,contradictory
4,0.470588,0.085714,0.478091,6,0.545455,0.133333,0.58554,0.363636,0,0,0,0,0.543417,partially_correct_incomplete
4,0.363636,0.055556,0.3698,4,0.333333,0.044444,0.344265,0.272727,0,0,0,0,0.310673,partially_correct_incomplete
1,0.125,0.016667,0.129099,1,0.095238,0.011111,0.105409,0,0,0,0,0,0.22549,contradictory
5,0.416667,0.118056,0.416667,3,0.222222,0.016667,0.223607,0.181818,0,0,0,-1,0.379487,correct
5,0.344828,0.044118,0.35007,4,0.25,0.015686,0.25049,0.363636,0,0,0,-1,0.503526,correct
7,0.736842,0.233333,0.737865,7,0.583333,0.096296,0.602464,0.363636,0,0,0,0,0.367521,irrelevant
4,0.285714,0.020833,0.288675,3,0.193548,0.0125,0.193649,0.181818,0,0,0,0,0.280783,contradictory
5,0.384615,0.04375,0.395285,5,0.322581,0.029167,0.322749,0.272727,0,0,0,0,0.360295,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0,non_domain
8,0.666667,0.128571,0.676123,8,0.551724,0.066667,0.552052,0.454545,0,0,0,0,0.453211,contradictory
3,0.352941,0.083333,0.387298,2,0.2,0.026667,0.23094,0.181818,0,0,0,-1,0.388889,contradictory
0,0,0,0,0,0,0,0,0,0,0,0,0,0.208556,non_domain
4,0.380952,0.055556,0.3849,4,0.333333,0.044444,0.344265,0.181818,0,0,0,-1,0.275439,contradictory
6,0.545455,0.068182,0.547723,10,0.740741,0.2,0.745356,0.454545,0,0,0,0,0.343891,partially_correct_incomplete
5,0.384615,0.041667,0.385758,6,0.413793,0.057143,0.414039,0.272727,0,0,0,0,0.328976,contradictory
4,0.307692,0.035714,0.308607,4,0.275862,0.019048,0.276026,0.181818,0,0,0,0,0.284007,contradictory
1,0.125,0.016667,0.129099,0,0,0,0,0,0,0,0,0,0.185185,partially_correct_incomplete
4,0.307692,0.035714,0.308607,4,0.275862,0.028571,0.276026,0.272727,0,0,0,0,0.279365,partially_correct_incomplete
7,0.736842,0.211111,0.737865,8,0.666667,0.162963,0.68853,0.272727,0,0,0,0,0.364253,partially_correct_incomplete
0,0,0,0,0,0,0,0,0,0,0,0,0,0.355615,non_domain
